question_id	question_text	dimension	ground_truth_f_statistic	gpt_f_statistic	ground_truth_p_value	gpt_p_value
Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	Sex	7.602	1.205	0.006	0.273
Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	Religion	1.261	4.079	0.257	0.0
Q140	On a scale of 1 to 5, 1 meaning 'Yes' and 5 meaning 'No',  have you ever preferred not to go out at night for security reasons?	Continent	1.319	15.468	0.255	0.0
Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	Sex	1.436	3.104	0.232	0.079
Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	Religion	4.024	4.894	0.0	0.0
Q22	On a scale of 1 to 5, 1 meaning 'No' and 5 meaning 'Definitely Yes',  would you be uncomfortable having homosexuals as neighbors?	Continent	19.417	22.742	0.0	0.0
Q149	On a scale of 1 to 5, 1 meaning 'Freedom' and 5 meaning 'Equality',  if you had to choose between freedom and equality, which would you consider more important?	Sex	0.012	4.349	0.915	0.038
Q149	On a scale of 1 to 5, 1 meaning 'Freedom' and 5 meaning 'Equality',  if you had to choose between freedom and equality, which would you consider more important?	Religion	0.777	0.827	0.638	0.591
Q149	On a scale of 1 to 5, 1 meaning 'Freedom' and 5 meaning 'Equality',  if you had to choose between freedom and equality, which would you consider more important?	Continent	3.743	3.74	0.003	0.003
Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	Sex	2.303	3.197	0.13	0.075
Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	Religion	1.252	2.075	0.262	0.031
Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	Continent	2.734	1.734	0.019	0.126
Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	Sex	0.047	3.431	0.828	0.065
Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	Religion	3.387	2.972	0.001	0.002
Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	Continent	2.336	11.759	0.042	0.0
Q126	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration increases the risks of terrorism?	Sex	1.269	0.066	0.261	0.798
Q126	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration increases the risks of terrorism?	Religion	0.89	2.879	0.534	0.003
Q126	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration increases the risks of terrorism?	Continent	4.128	19.136	0.001	0.0
Q124	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration increases the crime rate?	Sex	0.102	0.622	0.749	0.431
Q124	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration increases the crime rate?	Religion	0.523	2.644	0.858	0.006
Q124	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration increases the crime rate?	Continent	2.134	3.982	0.061	0.002
Q122	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration fills important job vacancies?	Sex	0.012	1.972	0.913	0.161
Q122	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration fills important job vacancies?	Religion	1.117	1.878	0.349	0.054
Q122	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration fills important job vacancies?	Continent	2.431	6.444	0.035	0.0
Q123	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration strengthens cultural diversity?	Sex	0.153	0.025	0.696	0.874
Q123	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration strengthens cultural diversity?	Religion	0.705	6.25	0.704	0.0
Q123	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement as it pertains to the effects of immigration on development in this country: Immigration strengthens cultural diversity?	Continent	3.523	13.785	0.004	0.0
Q148	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all', how worried are you about the following situation: A civil war	Sex	0.018	0.349	0.894	0.555
Q148	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all', how worried are you about the following situation: A civil war	Religion	1.974	3.247	0.041	0.001
Q148	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all', how worried are you about the following situation: A civil war	Continent	25.4	14.652	0.0	0.0
Q143	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all',  how worried are you about not being able to give your children a good education?	Sex	0.157	0.0	0.692	0.989
Q143	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all',  how worried are you about not being able to give your children a good education?	Religion	1.235	2.504	0.272	0.009
Q143	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all',  how worried are you about not being able to give your children a good education?	Continent	19.975	5.641	0.0	0.0
Q142	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all',  how worried are you about losing your job or not finding a job?	Sex	5.557	2.219	0.019	0.137
Q142	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all',  how worried are you about losing your job or not finding a job?	Religion	1.136	1.067	0.336	0.386
Q142	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all',  how worried are you about losing your job or not finding a job?	Continent	7.858	7.722	0.0	0.0
Q6	On a scale of 1 to 5, 1 meaning 'Very important' and 5 meaning 'Not at all important',  how important is religion in your life?	Sex	0.486	0.81	0.486	0.369
Q6	On a scale of 1 to 5, 1 meaning 'Very important' and 5 meaning 'Not at all important',  how important is religion in your life?	Religion	6.142	45.177	0.0	0.0
Q6	On a scale of 1 to 5, 1 meaning 'Very important' and 5 meaning 'Not at all important',  how important is religion in your life?	Continent	16.833	3.103	0.0	0.009
Q196	On a scale of 1 to 5, 1 meaning 'Definitely should have the right' and 5 meaning 'Definitely should not have the right', do you think that your country’s government should or should not have the right to keep people under video surveillance in public areas?	Sex	1.278	0.931	0.259	0.335
Q196	On a scale of 1 to 5, 1 meaning 'Definitely should have the right' and 5 meaning 'Definitely should not have the right', do you think that your country’s government should or should not have the right to keep people under video surveillance in public areas?	Religion	0.589	0.906	0.806	0.52
Q196	On a scale of 1 to 5, 1 meaning 'Definitely should have the right' and 5 meaning 'Definitely should not have the right', do you think that your country’s government should or should not have the right to keep people under video surveillance in public areas?	Continent	2.858	1.273	0.015	0.275
Q170	On a scale of 1 to 5, 1 meaning 'Strongly agree' and 5 meaning 'Strongly disagree', how strongly do you agree or disagree with the following statement: The only acceptable religion is my religion?	Sex	0.102	3.615	0.749	0.058
Q170	On a scale of 1 to 5, 1 meaning 'Strongly agree' and 5 meaning 'Strongly disagree', how strongly do you agree or disagree with the following statement: The only acceptable religion is my religion?	Religion	6.993	47.921	0.0	0.0
Q170	On a scale of 1 to 5, 1 meaning 'Strongly agree' and 5 meaning 'Strongly disagree', how strongly do you agree or disagree with the following statement: The only acceptable religion is my religion?	Continent	6.465	2.259	0.0	0.048
Q227	On a scale of 1 to 5, 1 meaning 'Very often' and 5 meaning 'Not at all often', in your opinion, how often are voters bribed in this country's elections?	Sex	0.102	0.378	0.75	0.539
Q227	On a scale of 1 to 5, 1 meaning 'Very often' and 5 meaning 'Not at all often', in your opinion, how often are voters bribed in this country's elections?	Religion	1.377	2.633	0.197	0.006
Q227	On a scale of 1 to 5, 1 meaning 'Very often' and 5 meaning 'Not at all often', in your opinion, how often are voters bribed in this country's elections?	Continent	17.427	0.623	0.0	0.682
Q146	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all', how worried are you about the following situation: A war involving your country?	Sex	4.128	5.793	0.043	0.017
Q146	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all', how worried are you about the following situation: A war involving your country?	Religion	2.075	1.699	0.031	0.088
Q146	On a scale of 1 to 5, 1 meaning 'Very much' and 5 meaning 'Not at all', how worried are you about the following situation: A war involving your country?	Continent	10.574	4.073	0.0	0.001
Q198	On a scale of 1 to 5, 1 meaning 'Definitely should have the right' and 5 meaning 'Definitely should not have the right', do you think that your country’s government should or should not have the right to collect information about anyone living in this country without their knowledge?	Sex	0.93	1.054	0.335	0.305
Q198	On a scale of 1 to 5, 1 meaning 'Definitely should have the right' and 5 meaning 'Definitely should not have the right', do you think that your country’s government should or should not have the right to collect information about anyone living in this country without their knowledge?	Religion	1.142	0.587	0.332	0.808
Q198	On a scale of 1 to 5, 1 meaning 'Definitely should have the right' and 5 meaning 'Definitely should not have the right', do you think that your country’s government should or should not have the right to collect information about anyone living in this country without their knowledge?	Continent	2.662	0.811	0.022	0.542
Q235	On a scale of 1 to 5, 1 meaning 'Very good' and 5 meaning 'Very bad', how do you view the following political system as a way of governing your country: Having a strong leader who does not have to bother with parliament and elections?	Sex	3.089	12.663	0.08	0.0
Q235	On a scale of 1 to 5, 1 meaning 'Very good' and 5 meaning 'Very bad', how do you view the following political system as a way of governing your country: Having a strong leader who does not have to bother with parliament and elections?	Religion	2.745	2.87	0.004	0.003
Q235	On a scale of 1 to 5, 1 meaning 'Very good' and 5 meaning 'Very bad', how do you view the following political system as a way of governing your country: Having a strong leader who does not have to bother with parliament and elections?	Continent	10.698	4.74	0.0	0.0
Q230	On a scale of 1 to 5, 1 meaning 'Very often' and 5 meaning 'Not at all often', in your opinion, how often do rich people buy elections in this country?	Sex	0.629	3.815	0.428	0.052
Q230	On a scale of 1 to 5, 1 meaning 'Very often' and 5 meaning 'Not at all often', in your opinion, how often do rich people buy elections in this country?	Religion	0.905	0.467	0.521	0.896
Q230	On a scale of 1 to 5, 1 meaning 'Very often' and 5 meaning 'Not at all often', in your opinion, how often do rich people buy elections in this country?	Continent	9.613	5.513	0.0	0.0
Q169	On a scale of 1 to 5, 1 meaning 'Strongly agree' and 5 meaning 'Strongly disagree', how strongly do you agree or disagree with the following statement: Whenever science and religion conflict, religion is always right?	Sex	1.679	0.197	0.196	0.658
Q169	On a scale of 1 to 5, 1 meaning 'Strongly agree' and 5 meaning 'Strongly disagree', how strongly do you agree or disagree with the following statement: Whenever science and religion conflict, religion is always right?	Religion	8.494	3.136	0.0	0.001
Q169	On a scale of 1 to 5, 1 meaning 'Strongly agree' and 5 meaning 'Strongly disagree', how strongly do you agree or disagree with the following statement: Whenever science and religion conflict, religion is always right?	Continent	20.349	3.375	0.0	0.005
Q207	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Social media (Facebook, Twitter, etc.)?	Sex	1.104	4.273	0.294	0.039
Q207	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Social media (Facebook, Twitter, etc.)?	Religion	0.751	1.17	0.662	0.313
Q207	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Social media (Facebook, Twitter, etc.)?	Continent	2.656	2.77	0.022	0.018
Q206	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often you use the following to obtain information: Internet?	Sex	0.303	2.965	0.582	0.086
Q206	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often you use the following to obtain information: Internet?	Religion	0.506	3.348	0.87	0.001
Q206	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often you use the following to obtain information: Internet?	Continent	8.756	6.598	0.0	0.0
Q204	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Mobile phone?	Sex	0.04	0.001	0.841	0.969
Q204	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Mobile phone?	Religion	0.954	3.559	0.478	0.0
Q204	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Mobile phone?	Continent	0.88	2.047	0.494	0.071
Q203	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Radio news?	Sex	0.592	0.284	0.442	0.594
Q203	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Radio news?	Religion	2.483	5.055	0.009	0.0
Q203	On a scale of 1 to 5, 1 meaning 'Daily' and 5 meaning 'Never', how often do you use the following to obtain information: Radio news?	Continent	6.535	22.513	0.0	0.0
Q186	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is sex before marriage?	Sex	0.011	1.141	0.918	0.286
Q186	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is sex before marriage?	Religion	6.824	0.133	0.0	0.999
Q186	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is sex before marriage?	Continent	17.566	2.032	0.0	0.073
Q182	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is homosexuality?	Sex	2.085	0.928	0.15	0.336
Q182	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is homosexuality?	Religion	4.236	12.368	0.0	0.0
Q182	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is homosexuality?	Continent	22.055	16.733	0.0	0.0
Q164	On a scale of 1 to 5, 1 meaning 'Not at all important' and 5 meaning 'Very important',  how important do you think God is in your life?	Sex	1.187	0.182	0.277	0.67
Q164	On a scale of 1 to 5, 1 meaning 'Not at all important' and 5 meaning 'Very important',  how important do you think God is in your life?	Religion	9.489	232.349	0.0	0.0
Q164	On a scale of 1 to 5, 1 meaning 'Not at all important' and 5 meaning 'Very important',  how important do you think God is in your life?	Continent	13.757	2.063	0.0	0.069
Q245	On a scale of 1 to 5, 1 meaning 'Not an essential characteristic of democracy' and 5 meaning 'An essential characteristic of democracy', how essential do you think the following scenario is as a characteristic of democracy: The army takes over when government is incompetent?	Sex	0.624	3.39	0.43	0.066
Q245	On a scale of 1 to 5, 1 meaning 'Not an essential characteristic of democracy' and 5 meaning 'An essential characteristic of democracy', how essential do you think the following scenario is as a characteristic of democracy: The army takes over when government is incompetent?	Religion	1.926	4.555	0.047	0.0
Q245	On a scale of 1 to 5, 1 meaning 'Not an essential characteristic of democracy' and 5 meaning 'An essential characteristic of democracy', how essential do you think the following scenario is as a characteristic of democracy: The army takes over when government is incompetent?	Continent	7.746	1.129	0.0	0.344
Q195	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is the death penalty?	Sex	0.245	1.646	0.621	0.2
Q195	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is the death penalty?	Religion	1.743	6.114	0.078	0.0
Q195	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is the death penalty?	Continent	5.519	6.023	0.0	0.0
Q188	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is euthanasia?	Sex	0.019	0.029	0.891	0.865
Q188	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is euthanasia?	Religion	3.468	8.299	0.0	0.0
Q188	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is euthanasia?	Continent	12.942	8.388	0.0	0.0
Q185	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is divorce?	Sex	1.004	6.95	0.317	0.009
Q185	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is divorce?	Religion	2.823	1.389	0.003	0.191
Q185	On a scale of 1 to 5, 1 meaning 'Never justifiable' and 5 meaning 'Always justifiable',  how justifiable is divorce?	Continent	16.891	3.704	0.0	0.003
